author_id,authors,first_name,last_name,email_id,contact_num
1,J.K. Rowling,J.K.,Rowling,J.K._Rowling@gmail.com,9994272756
2,W. Frederick Zimmerman,W.,Frederick_Zimmerman,W._Frederick Zimmerman@gmail.com,9167964424
3,Douglas Adams,Douglas,Adams,Douglas_Adams@gmail.com,8633432374
4,Bill Bryson,Bill,Bryson,Bill_Bryson@gmail.com,8685964059
5,J.R.R. Tolkien,J.R.R.,Tolkien,J.R.R._Tolkien@gmail.com,6375995014
6,Jude Fisher,Jude,Fisher,Jude_Fisher@gmail.com,7019876624
7,Gary Paulsen,Gary,Paulsen,Gary_Paulsen@gmail.com,6010929504
8,Molly Hatchet,Molly,Hatchet,Molly_Hatchet@gmail.com,9450817972
9,Dale Peck,Dale,Peck,Dale_Peck@gmail.com,7137842618
10,Delia Sherman,Delia,Sherman,Delia_Sherman@gmail.com,8348942420
11,Patricia A. McKillip,Patricia,A._McKillip,Patricia_A. McKillip@gmail.com,9136291360
12,Zilpha Keatley Snyder,Zilpha,Keatley_Snyder,Zilpha_Keatley Snyder@gmail.com,9428840586
13,Kate Horsley,Kate,Horsley,Kate_Horsley@gmail.com,8300138570
14,Philippa Carr,Philippa,Carr,Philippa_Carr@gmail.com,5816841389
15,Edward P. Jones,Edward,P._Jones,Edward_P. Jones@gmail.com,6246731304
16,Satyajit Das,Satyajit,Das,Satyajit_Das@gmail.com,8796067445
17,Mark Smylie,Mark,Smylie,Mark_Smylie@gmail.com,6152401197
18,John McPhee,John,McPhee,John_McPhee@gmail.com,9212501670
19,Wendy Wasserstein,Wendy,Wasserstein,Wendy_Wasserstein@gmail.com,8329513640
20,Heidi Hayes Jacobs,Heidi,Hayes_Jacobs,Heidi_Hayes Jacobs@gmail.com,9446666487
21,Heidi Boyd,Heidi,Boyd,Heidi_Boyd@gmail.com,6752984186
22,Frank Herbert,Frank,Herbert,Frank_Herbert@gmail.com,8890127320
23,Brian Herbert,Brian,Herbert,Brian_Herbert@gmail.com,6523468386
24,Gary Russell,Gary,Russell,Gary_Russell@gmail.com,8575505899
25,Bryce Courtenay,Bryce,Courtenay,Bryce_Courtenay@gmail.com,9905529579
26,Dave Lakhani,Dave,Lakhani,Dave_Lakhani@gmail.com,8686006228
27,Louis E. Catron,Louis,E._Catron,Louis_E. Catron@gmail.com,9126769238
28,Adam Ginsberg,Adam,Ginsberg,Adam_Ginsberg@gmail.com,6177444395
29,Marsha Collier,Marsha,Collier,Marsha_Collier@gmail.com,6157416987
30,Julia Wilkinson,Julia,Wilkinson,Julia_Wilkinson@gmail.com,7780267918
31,Ruby Ann Boxcar,Ruby,Ann_Boxcar,Ruby_Ann Boxcar@gmail.com,8296059148
32,Rob Orsini,Rob,Orsini,Rob_Orsini@gmail.com,6994299129
33,Gloria Goldreich,Gloria,Goldreich,Gloria_Goldreich@gmail.com,8352182003
34,Anthony Thorlby,Anthony,Thorlby,Anthony_Thorlby@gmail.com,9449593883
35,John Banville,John,Banville,John_Banville@gmail.com,9072032009
36,Narendra Jadhav,Narendra,Jadhav,Narendra_Jadhav@gmail.com,7814790999
37,Barry R. Cournoyer,Barry,R._Cournoyer,Barry_R. Cournoyer@gmail.com,5640194182
38,Madeleine L'Engle,Madeleine,L'Engle,Madeleine_L'Engle@gmail.com,5975162441
39,Tara MacCarthy,Tara,MacCarthy,Tara_MacCarthy@gmail.com,6023415133
40,Cynthia Harrod-Eagles,Cynthia,Harrod-Eagles,Cynthia_Harrod-Eagles@gmail.com,5729352772
41,Charles Todd,Charles,Todd,Charles_Todd@gmail.com,6705025093
42,Daniel Abraham,Daniel,Abraham,Daniel_Abraham@gmail.com,9862844461
43,Charles Willeford,Charles,Willeford,Charles_Willeford@gmail.com,7405973535
44,Tom Wolfe,Tom,Wolfe,Tom_Wolfe@gmail.com,9790604658
45,Quentin Blake,Quentin,Blake,Quentin_Blake@gmail.com,6574501885
46,Henry Miller,Henry,Miller,Henry_Miller@gmail.com,6419045125
47,Marguerite Duras,Marguerite,Duras,Marguerite_Duras@gmail.com,8618198973
48,Robert Louis Stevenson,Robert,Louis_Stevenson,Robert_Louis Stevenson@gmail.com,8799844466
49,Ralph Ginzburg,Ralph,Ginzburg,Ralph_Ginzburg@gmail.com,6922092822
50,Dr. Seuss,Dr.,Seuss,Dr._Seuss@gmail.com,6876023589
51,Debbie Raleigh,Debbie,Raleigh,Debbie_Raleigh@gmail.com,8070599109
52,Kevin Henkes,Kevin,Henkes,Kevin_Henkes@gmail.com,7678420853
53,Patrick Süskind,Patrick,Süskind,Patrick_Süskind@gmail.com,6698789888
54,Robert A. Heinlein,Robert,A._Heinlein,Robert_A. Heinlein@gmail.com,7356497332
55,Nick  Webb,Nick,_Webb,Nick_ Webb@gmail.com,6292372334
56,Terry Jones,Terry,Jones,Terry_Jones@gmail.com,7842890837
57,Harry G. Frankfurt,Harry,G._Frankfurt,Harry_G. Frankfurt@gmail.com,6005642171
58,Nick Flynn,Nick,Flynn,Nick_Flynn@gmail.com,5728419230
59,Garry Wills,Garry,Wills,Garry_Wills@gmail.com,8398457795
60,Don DeLillo,Don,DeLillo,Don_DeLillo@gmail.com,7406747666
61,Thomas Pynchon,Thomas,Pynchon,Thomas_Pynchon@gmail.com,5974020837
62,Joan Didion,Joan,Didion,Joan_Didion@gmail.com,9598747824
63,Paul Auster,Paul,Auster,Paul_Auster@gmail.com,8159775294
64,Jared Diamond,Jared,Diamond,Jared_Diamond@gmail.com,8245732682
65,Joseph A. Tainter,Joseph,A._Tainter,Joseph_A. Tainter@gmail.com,8241335514
66,Robert D. Putnam,Robert,D._Putnam,Robert_D. Putnam@gmail.com,7321828210
67,Philip K. Howard,Philip,K._Howard,Philip_K. Howard@gmail.com,9543430827
68,Nikola Tesla,Nikola,Tesla,Nikola_Tesla@gmail.com,9795704222
69,Carol Dommermuth-Costa,Carol,Dommermuth-Costa,Carol_Dommermuth-Costa@gmail.com,7622568746
70,William Golding,William,Golding,William_Golding@gmail.com,6531091982
71,Victor Davis Hanson,Victor,Davis_Hanson,Victor_Davis Hanson@gmail.com,9283161316
72,Alice Sebold,Alice,Sebold,Alice_Sebold@gmail.com,8681070027
